sequenceID,total_labels,fold_1_errs,fold_2_errs
394,3,1,0
395,2,0,1
396,3,1,0
397,3,1,1
398,3,0,1
399,3,1,1
400,2,0,0
401,2,1,0
402,3,1,0
403,3,1,0
404,3,0,1
405,3,0,0
406,3,1,0
407,2,0,0
408,3,1,0
409,3,0,0
410,3,1,0
411,2,1,0
412,2,1,0
