fold,n_layer,layer_size,n_features,f_engineer,normalize,val_acc
3,2,8,4,1,1,89.64912281
3,2,8,4,0,1,88.94736842
3,2,16,1,1,1,92.80701754
3,2,16,1,0,1,93.50877193
3,2,16,2,1,1,90.87719298
3,2,16,2,0,1,88.77192982
3,2,16,4,1,1,89.64912281
3,2,16,4,0,1,89.47368421
3,2,32,1,1,1,91.40350877
3,2,32,1,0,1,92.28070175
3,2,32,2,1,1,85.61403509
3,2,32,2,0,1,88.94736842
3,2,32,4,1,1,85.43859649
3,2,32,4,0,1,86.84210526
3,2,64,1,1,1,90.70175439
3,2,64,1,0,1,92.10526316
3,2,64,2,1,1,85.78947368
3,2,64,2,0,1,86.49122807
3,2,64,4,1,1,81.92982456
3,2,64,4,0,1,86.31578947
3,2,128,1,1,1,89.8245614
3,2,128,1,0,1,92.28070175
3,2,128,2,1,1,84.56140351
3,2,128,2,0,1,85.61403509
3,2,128,4,1,1,81.40350877
3,2,128,4,0,1,82.10526316
3,3,2,1,1,1,92.45614035
3,3,2,1,0,1,95.0877193
3,3,2,2,1,1,94.9122807
3,3,2,2,0,1,93.68421053
3,3,2,4,1,1,94.73684211
3,3,2,4,0,1,93.85964912
3,3,4,1,1,1,91.75438596
3,3,4,1,0,1,93.50877193
3,3,4,2,1,1,92.98245614
3,3,4,2,0,1,91.05263158
3,3,4,4,1,1,95.0877193
3,3,4,4,0,1,90.87719298
3,3,8,1,1,1,90.70175439
3,3,8,1,0,1,93.15789474
3,3,8,2,1,1,90.70175439
3,3,8,2,0,1,90.52631579
3,3,8,4,1,1,86.14035088
3,3,8,4,0,1,88.42105263
3,3,16,1,1,1,92.63157895
3,3,16,1,0,1,92.45614035
3,3,16,2,1,1,84.03508772
3,3,16,2,0,1,88.07017544
3,3,16,4,1,1,87.19298246
3,3,16,4,0,1,87.01754386
3,3,32,1,1,1,90.35087719
3,3,32,1,0,1,91.05263158
3,3,32,2,1,1,81.57894737
3,3,32,2,0,1,84.73684211
3,3,32,4,1,1,80.1754386
3,3,32,4,0,1,83.50877193
3,3,64,1,1,1,87.89473684
3,3,64,1,0,1,91.05263158
3,3,64,2,1,1,79.12280702
3,3,64,2,0,1,78.94736842
3,3,64,4,1,1,76.66666667
3,3,64,4,0,1,77.36842105
3,3,128,1,1,1,79.12280702
3,3,128,1,0,1,81.22807018
3,3,128,2,1,1,75.0877193
3,3,128,2,0,1,77.71929825
3,3,128,4,1,1,78.94736842
3,3,128,4,0,1,72.63157895
