fold,n_layer,layer_size,n_features,f_engineer,normalize,val_acc
3,1,32,2,0,1,96.45390071
3,1,32,4,1,1,99.14893617
3,1,32,4,0,1,97.44680851
3,1,64,1,1,1,95.74468085
3,1,64,1,0,1,95.03546099
3,1,64,2,1,1,97.16312057
3,1,64,2,0,1,96.45390071
3,1,64,4,1,1,99.29078014
3,1,64,4,0,1,98.58156028
3,1,128,1,1,1,96.45390071
3,1,128,1,0,1,95.17730496
3,1,128,2,1,1,98.43971631
3,1,128,2,0,1,97.30496454
3,1,128,4,1,1,99.43262411
3,1,128,4,0,1,98.86524823
3,2,2,1,1,1,91.34751773
3,2,2,1,0,1,94.32624113
3,2,2,2,1,1,95.46099291
3,2,2,2,0,1,93.75886525
3,2,2,4,1,1,93.90070922
3,2,2,4,0,1,94.32624113
3,2,4,1,1,1,94.89361702
3,2,4,1,0,1,94.18439716
3,2,4,2,1,1,95.31914894
3,2,4,2,0,1,94.75177305
3,2,4,4,1,1,94.60992908
3,2,4,4,0,1,96.45390071
3,2,8,1,1,1,95.03546099
3,2,8,1,0,1,94.60992908
3,2,8,2,1,1,95.88652482
3,2,8,2,0,1,95.74468085
3,2,8,4,1,1,97.73049645
3,2,8,4,0,1,97.0212766
3,2,16,1,1,1,96.17021277
3,2,16,1,0,1,94.75177305
3,2,16,2,1,1,97.30496454
3,2,16,2,0,1,96.87943262
3,2,16,4,1,1,99.29078014
3,2,16,4,0,1,97.73049645
3,2,32,1,1,1,96.02836879
3,2,32,1,0,1,95.60283688
3,2,32,2,1,1,99.0070922
3,2,32,2,0,1,97.0212766
3,2,32,4,1,1,99.43262411
3,2,32,4,0,1,98.72340426
3,2,64,1,1,1,96.87943262
3,2,64,1,0,1,95.03546099
3,2,64,2,1,1,99.43262411
3,2,64,2,0,1,97.16312057
3,2,64,4,1,1,99.43262411
3,2,64,4,0,1,99.29078014
3,2,128,1,1,1,95.60283688
3,2,128,1,0,1,95.60283688
3,2,128,2,1,1,98.86524823
3,2,128,2,0,1,98.43971631
3,2,128,4,1,1,99.29078014
3,2,128,4,0,1,99.43262411
3,3,2,1,1,1,91.63120567
3,3,2,1,0,1,91.34751773
3,3,2,2,1,1,94.89361702
3,3,2,2,0,1,94.75177305
3,3,2,4,1,1,96.73758865
3,3,2,4,0,1,94.18439716
3,3,4,1,1,1,94.75177305
3,3,4,1,0,1,93.90070922
3,3,4,2,1,1,91.63120567
3,3,4,2,0,1,95.60283688
3,3,4,4,1,1,97.0212766
3,3,4,4,0,1,95.17730496
3,3,8,1,1,1,94.89361702
3,3,8,1,0,1,94.32624113
3,3,8,2,1,1,95.60283688
3,3,8,2,0,1,95.88652482
3,3,8,4,1,1,96.59574468
3,3,8,4,0,1,97.44680851
3,3,16,1,1,1,95.60283688
3,3,16,1,0,1,94.18439716
3,3,16,2,1,1,97.30496454
3,3,16,2,0,1,96.31205674
3,3,16,4,1,1,98.58156028
3,3,16,4,0,1,98.0141844
3,3,32,1,1,1,93.04964539
3,3,32,1,0,1,95.74468085
3,3,32,2,1,1,95.31914894
3,3,32,2,0,1,95.46099291
3,3,32,4,1,1,99.57446809
3,3,32,4,0,1,98.0141844
3,3,64,1,1,1,89.92907801
3,3,64,1,0,1,95.31914894
3,3,64,2,1,1,97.30496454
3,3,64,2,0,1,88.22695035
3,3,64,4,1,1,99.14893617
3,3,64,4,0,1,96.02836879
3,3,128,1,1,1,83.40425532
3,3,128,1,0,1,84.96453901
3,3,128,2,1,1,88.36879433
3,3,128,2,0,1,91.20567376
3,3,128,4,1,1,99.43262411
3,3,128,4,0,1,90.4964539
4,1,2,1,1,1,94.17475728
4,1,2,1,0,1,94.03606103
4,1,2,2,1,1,93.75866852
4,1,2,2,0,1,93.34257975
4,1,2,4,1,1,95.70041609
4,1,2,4,0,1,95.14563107
4,1,4,1,1,1,94.03606103
4,1,4,1,0,1,94.31345354
4,1,4,2,1,1,95.00693481
4,1,4,2,0,1,94.59084605
4,1,4,4,1,1,95.83911234
4,1,4,4,0,1,95.28432732
4,1,8,1,1,1,94.45214979
4,1,8,1,0,1,94.45214979
4,1,8,2,1,1,95.00693481
4,1,8,2,0,1,95.56171983
4,1,8,4,1,1,96.80998613
4,1,8,4,0,1,96.67128988
4,1,16,1,1,1,93.89736477
4,1,16,1,0,1,94.59084605
4,1,16,2,1,1,95.9778086
4,1,16,2,0,1,95.42302358
4,1,16,4,1,1,98.47434119
4,1,16,4,0,1,97.2260749
4,1,32,1,1,1,94.45214979
4,1,32,1,0,1,94.59084605
4,1,32,2,1,1,96.25520111
4,1,32,2,0,1,95.70041609
4,1,32,4,1,1,99.02912621
4,1,32,4,0,1,98.33564494
4,1,64,1,1,1,94.59084605
4,1,64,1,0,1,94.7295423
4,1,64,2,1,1,98.47434119
4,1,64,2,0,1,97.2260749
4,1,64,4,1,1,99.58391123
4,1,64,4,0,1,99.02912621
4,1,128,1,1,1,94.86823856
4,1,128,1,0,1,94.45214979
4,1,128,2,1,1,99.02912621
4,1,128,2,0,1,97.64216366
4,1,128,4,1,1,99.58391123
4,1,128,4,0,1,99.02912621
4,2,2,1,1,1,93.89736477
4,2,2,1,0,1,93.89736477
4,2,2,2,1,1,94.31345354
4,2,2,2,0,1,94.86823856
4,2,2,4,1,1,94.03606103
4,2,2,4,0,1,95.42302358
4,2,4,1,1,1,94.45214979
4,2,4,1,0,1,94.45214979
4,2,4,2,1,1,94.86823856
4,2,4,2,0,1,90.42995839
4,2,4,4,1,1,95.9778086
4,2,4,4,0,1,95.56171983
4,2,8,1,1,1,94.31345354
4,2,8,1,0,1,94.59084605
4,2,8,2,1,1,95.70041609
4,2,8,2,0,1,95.9778086
4,2,8,4,1,1,97.91955617
4,2,8,4,0,1,97.36477115
4,2,16,1,1,1,93.75866852
4,2,16,1,0,1,94.45214979
4,2,16,2,1,1,98.7517337
4,2,16,2,0,1,96.25520111
4,2,16,4,1,1,98.89042996
4,2,16,4,0,1,97.64216366
4,2,32,1,1,1,95.00693481
4,2,32,1,0,1,94.31345354
4,2,32,2,1,1,98.47434119
4,2,32,2,0,1,96.39389736
4,2,32,4,1,1,99.72260749
4,2,32,4,0,1,99.16782247
4,2,64,1,1,1,95.42302358
4,2,64,1,0,1,94.7295423
4,2,64,2,1,1,99.30651872
4,2,64,2,0,1,98.61303745
4,2,64,4,1,1,99.72260749
4,2,64,4,0,1,99.16782247
4,2,128,1,1,1,95.83911234
4,2,128,1,0,1,94.17475728
4,2,128,2,1,1,99.16782247
4,2,128,2,0,1,98.47434119
4,2,128,4,1,1,98.7517337
4,2,128,4,0,1,99.02912621
4,3,2,1,1,1,90.42995839
4,3,2,1,0,1,90.42995839
4,3,2,2,1,1,95.14563107
4,3,2,2,0,1,90.42995839
4,3,2,4,1,1,95.14563107
4,3,2,4,0,1,90.42995839
4,3,4,1,1,1,93.61997226
4,3,4,1,0,1,94.03606103
4,3,4,2,1,1,95.56171983
4,3,4,2,0,1,95.00693481
4,3,4,4,1,1,97.2260749
4,3,4,4,0,1,95.14563107
4,3,8,1,1,1,95.28432732
4,3,8,1,0,1,93.75866852
4,3,8,2,1,1,95.56171983
4,3,8,2,0,1,95.70041609
4,3,8,4,1,1,97.2260749
4,3,8,4,0,1,96.39389736
4,3,16,1,1,1,94.59084605
4,3,16,1,0,1,94.31345354
4,3,16,2,1,1,97.36477115
4,3,16,2,0,1,96.53259362
4,3,16,4,1,1,99.30651872
4,3,16,4,0,1,96.25520111
4,3,32,1,1,1,94.31345354
4,3,32,1,0,1,94.7295423
4,3,32,2,1,1,94.86823856
