dataset,num_layers,layer_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
H3K4me3_PGP_immune,3,4096,1,56,1.8675280809402466,1.879247784614563,13.862589836120605,1.411264419555664
H3K4me3_PGP_immune,3,4096,2,34,1.470741868019104,1.8890279531478882,2.4640607833862305,1.2565219402313232
H3K4me3_PGP_immune,4,2,1,1389,2.779815912246704,2.405601739883423,2.771594285964966,4.165176630020142
H3K4me3_PGP_immune,4,2,2,13074,2.513197183609009,2.6982574462890625,2.637357234954834,36.00790762901306
H3K4me3_PGP_immune,4,4,1,3889,2.296281099319458,1.9122741222381592,7.239336967468262,11.146678924560547
H3K4me3_PGP_immune,4,4,2,3176,1.8767337799072266,2.144757032394409,2.2886240482330322,9.20908784866333
H3K4me3_PGP_immune,4,8,1,3388,2.2853074073791504,1.8963954448699951,6.760511875152588,9.567421674728394
H3K4me3_PGP_immune,4,8,2,1325,1.8067516088485718,2.0527822971343994,2.251047372817993,3.9875476360321045
H3K4me3_PGP_immune,4,16,1,1070,2.28399920463562,1.8535031080245972,5.843906879425049,3.282754421234131
H3K4me3_PGP_immune,4,16,2,1037,1.7700750827789307,2.026324510574341,2.2835166454315186,3.1497302055358887
H3K4me3_PGP_immune,4,32,1,1250,2.3036720752716064,1.9084798097610474,6.638033390045166,3.745114326477051
H3K4me3_PGP_immune,4,32,2,1496,1.670106053352356,2.0616228580474854,2.4060733318328857,4.430029392242432
H3K4me3_PGP_immune,4,64,1,584,2.1903393268585205,1.9320279359817505,4.222012042999268,1.9082012176513672
H3K4me3_PGP_immune,4,64,2,1294,1.6713216304779053,2.087427854537964,2.3928964138031006,3.8825762271881104
H3K4me3_PGP_immune,4,128,1,308,2.0425660610198975,1.9881054162979126,3.5828192234039307,1.1593685150146484
H3K4me3_PGP_immune,4,128,2,581,1.6436526775360107,2.015395164489746,2.310152769088745,1.9259212017059326
H3K4me3_PGP_immune,4,256,1,210,1.971058964729309,1.9184894561767578,3.6329336166381836,0.9741168022155762
H3K4me3_PGP_immune,4,256,2,293,1.540464997291565,1.9609185457229614,2.351290702819824,1.2459900379180908
H3K4me3_PGP_immune,4,512,1,166,1.9874820709228516,1.9536415338516235,5.962645530700684,0.8742294311523438
H3K4me3_PGP_immune,4,512,2,140,1.6115589141845703,1.9584072828292847,2.3045029640197754,0.7942094802856445
H3K4me3_PGP_immune,4,1024,1,84,1.916645884513855,1.8841689825057983,6.446591377258301,0.6416616439819336
H3K4me3_PGP_immune,4,1024,2,93,1.561125636100769,1.9159632921218872,2.3706183433532715,0.6647288799285889
H3K4me3_PGP_immune,4,2048,1,58,1.7514256238937378,1.8787893056869507,15.845035552978516,0.8149363994598389
H3K4me3_PGP_immune,4,2048,2,148,2.7740604877471924,1.870025634765625,2.6628570556640625,1.2035160064697266
H3K4me3_PGP_immune,4,4096,1,78,1.7667574882507324,1.8896498680114746,16.019994735717773,2.217653274536133
H3K4me3_PGP_immune,4,4096,2,116,1.3564516305923462,1.9428739547729492,2.680969476699829,2.643545150756836
