dataset,num_layers,layer_size,test_fold,test_ratio,stop_epoch,train_loss,val_loss,test_loss,time
cancer,2,32,1,0.5,114,0.7746764421463013,1.179194688796997,1.282638430595398,1.8297996520996092
cancer,2,32,2,0.1,281,0.8047342300415039,0.9925109148025512,1.6445538997650146,2.2960221767425537
cancer,2,32,2,0.2,286,0.7919286489486694,0.8400436639785767,1.6019022464752195,2.3117926120758057
cancer,2,32,2,0.3,267,0.735827624797821,0.9304614663124084,1.578566551208496,2.2528090476989746
cancer,2,32,2,0.4,267,0.7226377129554749,1.0136672258377075,1.3803353309631348,2.250516414642334
cancer,2,32,2,0.5,266,0.6859473586082458,0.9808507561683656,1.4077516794204712,2.2533063888549805
cancer,1,2,2,0.5,2817,0.8869208097457886,1.0868712663650513,1.3888572454452517,6.243986129760742
cancer,2,64,1,0.1,23,0.8434082269668579,1.5213217735290527,1.328783392906189,1.6965439319610596
cancer,2,64,1,0.2,23,0.8119887113571167,1.2227665185928345,1.3181706666946411,1.6927027702331543
cancer,2,64,1,0.3,54,0.7591373324394226,1.2542791366577148,1.3294591903686523,4.086071491241455
cancer,2,64,1,0.4,53,0.7560811638832092,1.192814588546753,1.2969220876693726,4.103746175765991
cancer,2,64,1,0.5,68,0.6267491579055786,1.1741536855697632,1.352988362312317,4.142202854156494
cancer,2,64,2,0.1,104,0.6952466368675232,1.0053178071975708,1.7353061437606812,4.324925422668457
cancer,2,64,2,0.2,163,0.6593703031539917,0.832960844039917,1.7150774002075195,2.172812461853028
cancer,2,64,2,0.3,116,0.6589341163635254,0.9566770792007446,1.6067312955856323,1.9824872016906736
cancer,2,64,2,0.4,133,0.6603666543960571,1.0008792877197266,1.3999367952346802,2.0284759998321533
cancer,2,64,2,0.5,141,0.5894256234169006,0.96743506193161,1.478266358375549,2.0641720294952397
cancer,1,1,1,0.3,148,2.1942546367645264,2.5024335384368896,2.2540132999420166,4.937000751495361
cancer,1,4,1,0.1,53,1.0279791355133057,1.6444538831710815,1.335322380065918,1.5134410858154297
cancer,2,128,1,0.1,61,0.7020614147186279,1.6006335020065308,1.439091682434082,2.097355365753174
cancer,2,128,1,0.2,14,0.7481729984283447,1.24737811088562,1.3488949537277222,1.7933754920959473
cancer,2,128,1,0.3,130,0.5635014772415161,1.2421997785568235,1.4194331169128418,2.3325936794281006
cancer,2,128,1,0.4,40,0.6703097224235535,1.2079805135726929,1.2460474967956543,1.8933801651000977
cancer,2,128,1,0.5,57,0.5561380386352539,1.1861413717269895,1.3992913961410522,1.9656567573547363
cancer,2,128,2,0.1,111,0.6574313640594482,0.9814879894256592,1.734843134880066,2.300656318664551
cancer,2,128,2,0.2,120,0.663752555847168,0.8172222971916199,1.6873276233673096,2.4534316062927246
cancer,2,128,2,0.3,99,0.6571300625801086,0.9420465230941772,1.5952739715576172,2.3323793411254883
cancer,2,128,2,0.4,97,0.6527323126792908,1.0116692781448364,1.4851696491241455,2.2926785945892334
cancer,2,128,2,0.5,96,0.624325156211853,0.9641900062561036,1.513503074645996,2.2604546546936035
cancer,1,4,1,0.2,74,1.00160551071167,1.2911475896835327,1.3380132913589478,1.5647566318511963
cancer,2,256,1,0.1,29,0.6193784475326538,1.563624382019043,1.370265245437622,2.5663297176361084
cancer,2,256,1,0.2,8,0.6689625382423401,1.2527964115142822,1.3473256826400757,2.337569236755371
cancer,2,256,1,0.3,27,0.6550367474555969,1.260616660118103,1.3746423721313477,2.4716010093688965
cancer,2,256,1,0.4,36,0.5854927897453308,1.1995311975479126,1.2969034910202026,2.533422470092773
cancer,2,256,1,0.5,14,0.5440471172332764,1.18799090385437,1.446378231048584,2.3094425201416016
cancer,2,256,2,0.1,68,0.5957897305488586,1.0176218748092651,1.7940913438796997,2.9643702507019043
cancer,2,256,2,0.2,74,0.634922444820404,0.8372506499290466,1.7223148345947266,5.940581560134888
cancer,2,256,2,0.3,69,0.6062105894088745,0.9538798928260804,1.792667269706726,5.83056640625
cancer,2,256,2,0.4,63,0.6048495173454285,1.0155171155929563,1.5052587985992432,5.715030670166016
cancer,2,256,2,0.5,63,0.5577635765075684,0.9870054125785828,1.4732202291488647,5.67140531539917
cancer,1,4,1,0.3,768,0.7857034206390381,1.2695714235305786,1.3128280639648438,2.863032579421997
cancer,2,512,1,0.1,117,0.4879716336727142,1.4967879056930542,1.807217121124268,6.270787000656128
cancer,2,512,1,0.2,79,0.4952845573425293,1.2416163682937622,1.6078064441680908,5.294559001922607
cancer,2,512,1,0.3,19,0.5321418642997742,1.2574992179870603,1.411779522895813,3.939928531646729
cancer,2,512,1,0.4,18,0.5414175987243652,1.191760540008545,1.3119795322418213,3.73431134223938
cancer,2,512,1,0.5,9,0.4965864419937134,1.1871869564056396,1.4114737510681152,3.5273776054382324
cancer,2,512,2,0.1,46,0.6134141683578491,1.0059579610824585,1.7653101682662964,4.690101623535156
cancer,2,512,2,0.2,57,0.5958881974220276,0.8257352709770203,1.860168218612671,4.703591585159302
cancer,2,512,2,0.3,38,0.5341856479644775,0.9826124310493468,1.7243732213974,4.148994445800781
cancer,2,512,2,0.4,37,0.556824803352356,1.0283044576644895,1.4471182823181152,4.064991235733032
cancer,2,512,2,0.5,43,0.5145086646080017,1.0025804042816162,1.6933821439743042,4.247521877288818
cancer,1,4,1,0.4,214,0.895127534866333,1.219082951545715,1.2922577857971191,1.8537366390228271
cancer,2,1024,1,0.1,91,0.4684534668922424,1.4043211936950684,1.7518863677978516,15.476419687271118
cancer,2,1024,1,0.2,24,0.4991726875305176,1.227566480636597,1.6228853464126587,10.755783796310425
cancer,2,1024,1,0.3,14,0.5031672120094299,1.2439020872116089,1.487655520439148,9.575908184051514
cancer,2,1024,1,0.4,13,0.513152539730072,1.1984513998031616,1.494215965270996,9.538293600082396
cancer,2,1024,1,0.5,6,0.4704784750938415,1.184998631477356,1.5076916217803955,8.875096082687378
cancer,2,1024,2,0.1,28,0.5850800275802612,1.0172808170318604,1.6794770956039429,11.18708086013794
cancer,2,1024,2,0.2,37,0.5576321482658386,0.8754634857177734,1.995770812034607,11.604527711868286
cancer,2,1024,2,0.3,25,0.5052724480628967,0.979622483253479,1.9340523481369016,10.424454927444458
cancer,2,1024,2,0.4,28,0.5295855402946472,1.0324273109436035,1.611491560935974,10.565829515457152
cancer,2,1024,2,0.5,27,0.493868738412857,1.0205613374710083,1.6756367683410645,10.419424295425417
cancer,1,4,1,0.5,212,0.862345278263092,1.183147430419922,1.2890452146530151,4.193503379821777
cancer,2,2048,1,0.1,25,0.6825224757194519,1.5575902462005615,1.5505400896072388,58.47633171081543
cancer,2,2048,1,0.2,9,0.4879285395145416,1.220524787902832,1.6096460819244385,31.500019311904907
cancer,2,2048,1,0.3,21,0.4802265167236328,1.2879728078842163,1.649951696395874,33.36105275154114
cancer,2,2048,1,0.4,19,0.6578789353370667,1.199027419090271,1.423842191696167,31.6509850025177
